2019-03-13 10:49:17.702 [ReplicaAwareInstanceRegistry - RenewalThresholdUpdater] INFO  c.n.eureka.registry.PeerAwareInstanceRegistryImpl - Current renewal threshold is : 6
2019-03-13 10:49:36.887 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 6ms
2019-03-13 10:50:36.896 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 9ms
2019-03-13 10:50:58.521 [Thread-51] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@38234a38: startup date [Fri Mar 08 13:08:23 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@5fd4f8f5
2019-03-13 10:50:58.636 [Thread-51] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Unregistering application CONFIG-SERVICE with eureka with status DOWN
2019-03-13 10:50:58.874 [Thread-51] INFO  o.s.context.support.DefaultLifecycleProcessor - Stopping beans in phase 0
2019-03-13 10:50:58.917 [Thread-51] INFO  com.netflix.eureka.DefaultEurekaServerContext - Shutting down ...
2019-03-13 10:50:59.012 [Thread-51] INFO  com.netflix.eureka.DefaultEurekaServerContext - Shut down
2019-03-13 10:50:59.046 [Thread-51] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
2019-03-13 10:50:59.051 [Thread-51] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Unregistering JMX-exposed beans
2019-03-13 10:50:59.206 [Thread-51] INFO  com.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2019-03-13 10:50:59.209 [Thread-51] INFO  com.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
